	level_1	AUC
509	Cross-validation	0.7146164021164021
510	Cross-validation	0.6212998712998713
511	Cross-validation	0.7873230373230373
512	Cross-validation	0.7354497354497356
513	Cross-validation	0.6736111111111112
514	Cross-validation	0.775462962962963
515	Cross-validation	0.7358429858429858
516	Cross-validation	0.6505791505791506
517	Cross-validation	0.8270502645502644
518	Cross-validation	0.7516534391534393
519	Cross-validation	0.6742724867724867
520	Cross-validation	0.6747104247104247
521	Cross-validation	0.7303732303732303
522	Cross-validation	0.8141534391534392
523	Cross-validation	0.7046957671957672
524	Cross-validation	0.6296296296296297
525	Cross-validation	0.7088159588159588
526	Cross-validation	0.692084942084942
527	Cross-validation	0.8564814814814814
528	Cross-validation	0.7063492063492063
529	Cross-validation	0.6236772486772487
530	Cross-validation	0.7084942084942085
531	Cross-validation	0.7709137709137709
532	Cross-validation	0.6392195767195767
533	Cross-validation	0.7642195767195767
534	Cross-validation	0.7341269841269842
535	Cross-validation	0.7799227799227799
536	Cross-validation	0.6595881595881595
537	Cross-validation	0.6587301587301587
538	Cross-validation	0.5763888888888888
539	Cross-validation	0.808531746031746
540	Cross-validation	0.7281209781209781
541	Cross-validation	0.7126769626769626
542	Cross-validation	0.6587301587301587
543	Cross-validation	0.6739417989417991
544	Cross-validation	0.6428571428571429
545	Cross-validation	0.6727799227799228
546	Cross-validation	0.718146718146718
547	Cross-validation	0.7414021164021164
548	Cross-validation	0.7966269841269841
549	Cross-validation	0.718584656084656
550	Cross-validation	0.6280566280566281
551	Cross-validation	0.7101029601029601
552	Cross-validation	0.6435185185185185
553	Cross-validation	0.7152777777777778
554	Cross-validation	0.7278439153439153
555	Cross-validation	0.7191119691119692
556	Cross-validation	0.6978764478764479
557	Cross-validation	0.6746031746031746
558	Cross-validation	0.5965608465608465
559	Cross-validation	0.7364417989417991
560	Cross-validation	0.6985199485199485
561	Cross-validation	0.7306949806949807
562	Cross-validation	0.7433862433862435
563	Cross-validation	0.6980820105820107
564	Cross-validation	0.568121693121693
565	Cross-validation	0.7705920205920207
566	Cross-validation	0.6113256113256114
567	Cross-validation	0.6917989417989419
568	Cross-validation	0.7414021164021164
569	Cross-validation	0.6464947089947091
570	Cross-validation	0.5585585585585586
571	Cross-validation	0.7107464607464608
572	Cross-validation	0.7086640211640212
573	Cross-validation	0.6782407407407407
574	Cross-validation	0.6669973544973545
575	Cross-validation	0.71010296010296
576	Cross-validation	0.7075289575289575
577	Cross-validation	0.7268518518518519
578	Cross-validation	0.7440476190476191
579	Cross-validation	0.6815476190476191
580	Cross-validation	0.6692406692406693
581	Cross-validation	0.6747104247104247
582	Cross-validation	0.6567460317460319
583	Cross-validation	0.6917989417989419
584	Cross-validation	0.6818783068783069
585	Cross-validation	0.7033462033462033
586	Cross-validation	0.7779922779922781
